Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
1,393,MN-3,"MN-Core Server, Xeon 8260M 24C 2.4GHz, MN-Core, RoCEv2/MN-Core DirectConnect",Preferred Networks,Preferred Networks,Japan,2020,Industry,2080,160,1621.1,3922.33,76.8,Submitted,21.10807292,,0,,,,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,2400,Ubuntu Linux,Ubuntu Linux,MN-Core,24,Xeon Platinum 82xx (Cascade Lake),MN-Core Server,Preferred Networks Cluster,Custom Interconnect,RoCEv2/MN-Core DirectConnect,Asia,50832,179806
2,7,Selene,"DGX A100 SuperPOD, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",NVIDIA Corporation,Nvidia,United States,2020,Industry,272800,237600,27580,34568.6,1344.19,Submitted,20.51793273,,0,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 18.04.01,Ubuntu 18.04.01,NVIDIA A100,64,AMD Rome,DGX A100 SuperPOD,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,North America,48448,179842
3,468,NA-1,"ZettaScaler-2.2, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2 700Mhz",PEZY Computing K.K.,PEZY Computing / Exascaler Inc.,Japan,2020,Industry,1271040,1269760,1303.22,1790.98,80.17,Optimized,18.433,Optimized,0,,1247.56,67.68,Cluster,Xeon D-1571 16C 1.3GHz,Intel Broadwell,1300,CentOS,CentOS,PEZY-SC2 700Mhz,16,Intel Xeon E5 (Broadwell),ZettaScaler-2.2,Pezy/Exascaler Cluster,Infiniband,Infiniband EDR,Asia,50638,179805
4,204,A64FX prototype,"Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D",Fujitsu Numazu Plant,Fujitsu,Japan,2019,Vendor,36864,,1999.5,2359.3,118.48,Submitted,16.87626604,,0,,,,Cluster,Fujitsu A64FX 48C 2GHz,Fujitsu ARM,2000,Linux,Linux,None,48,Fujitsu A64FX,Fujitsu A64FX,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,50811,179706
5,26,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,130000,120000,8339,11032.03,512.08,Submitted,16.28456491,,0,,,,Cluster,IBM POWER9 20C 3.45GHz,Power,3450,RHEL 7.6,RHEL 7.6,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,50823,179781
6,6,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,Dell EMC,Italy,2020,Industry,669760,582400,35450,51720.76,2252.17,Submitted,15.74037484,,0,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,2100,CentOS Linux 7,CentOS Linux 7,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,50489,179856
7,421,Satori,"IBM Power System AC922, IBM POWER9  20C 2.4GHz, Infiniband EDR, NVIDIA Tesla V100 SXM2","MIT/MGHPCC Holyoke, MA",IBM,United States,2019,Academic,23040,20480,1464,1739.78,94,Submitted,15.57446809,,0,,,,Cluster,IBM POWER9  20C 2.4GHz,Power,2400,RHEL 7.6,RHEL 7.6,NVIDIA Tesla V100 SXM2,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Infiniband EDR,North America,50822,179780
8,2,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/SC/Oak Ridge National Laboratory,IBM,United States,2018,Research,2414592,2211840,148600,200794.88,10096,Submitted,14.71870048,,0,,,,Cluster,IBM POWER9 22C 3.07GHz,Power,3070,RHEL 7.4,RHEL 7.4,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,48553,179397
9,1,Supercomputer Fugaku,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",RIKEN Center for Computational Science,Fujitsu,Japan,2020,Research,7299072,,415530,513854.67,28334.5,Submitted,14.66516085,,0,,,,MPP,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Red Hat Enterprise Linux,None,48,Fujitsu A64FX,Supercomputer Fugaku,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,50831,179807
10,9,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,347776,316160,21640,29354,1476,Submitted,14.66124661,,0,,,,Cluster,IBM POWER9 16C 3GHz,Power,3000,RHEL 7.6,RHEL 7.6,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,47495,179845
